Geo,AreaKM_2,Mladenoff1993HabClassProb_Area,Mladenoff1993HabClassProb_AreaTimes0.0243,Belant2022HabitatReclass_Area,Belant2022HabitatReclass_AreaTimes0.0243,Belant2022_DirectEstimate,Mladenoff09_HabitatProbability_Area,Mladenoff09_HabitatProbability_AreaTimes0.0243,Stauffer2021_AreaOccupied_NotHabitat
1,15725,4627.13168515418,112.439299949246,10084.9114491102,245.063348213377,NA,12050.9738847385,292.838665399146,NA
2,14775.6,4464.43930829161,108.485875191486,9018.05970021355,219.138850715189,NA,11340.5221257621,275.574687656019,NA
3,10089.2,937.026853577992,22.7697525419452,4285.44946058379,104.136421892186,NA,5742.03479322554,139.531445475381,NA
4,5941.9,662.523376444401,16.0993180475989,2012.52443154861,48.9043436866312,NA,2659.56191106845,64.6273544389633,NA
5,7994.5,661.971758240664,16.0859137252481,3010.72310460948,73.1605714420103,NA,3511.85694597054,85.3381237870842,NA
6,87788.8,252.269110952597,6.1301393961481,12297.5687244788,298.830920004835,NA,3394.41952457122,82.4843944470807,NA
MI,42621.299,24872.8780499569,604.410936613952,22515.4157617516,547.124603010564,18812,38959.1660694811,946.70773548839,NA
MN,219049.509,67257.0130516356,1634.34541715474,69917.6988263596,1699.00008148054,48083,79118.6152398482,1922.58235032831,NA
WI,144959.451,12506.7145073976,303.913162529763,43119.0351712396,1047.79255466112,27757,40798.951970895,991.414532892748,46494
